Contest, Problem, Difficulty, Name, Codeforces URL
1491, A, 800, K-th Largest Value, https://codeforces.com/problemset/problem/1491/A
1492, A, 800, Three swimmers, https://codeforces.com/problemset/problem/1492/A
1493, A, 800, Anti-knapsack, https://codeforces.com/problemset/problem/1493/A
1497, A, 800, Meximization, https://codeforces.com/problemset/problem/1497/A
1498, A, 800, GCD Sum, https://codeforces.com/problemset/problem/1498/A
1499, A, 800, Domino on Windowsill, https://codeforces.com/problemset/problem/1499/A
1501, A, 800, Alexey and Train, https://codeforces.com/problemset/problem/1501/A
1504, A, 800,  Déjà Vu, https://codeforces.com/problemset/problem/1504/A
1509, A, 800, Average Height, https://codeforces.com/problemset/problem/1509/A
1511, A, 800, Review Site, https://codeforces.com/problemset/problem/1511/A
1513, A, 800, Array and Peaks, https://codeforces.com/problemset/problem/1513/A
1514, A, 800, Perfectly Imperfect Array, https://codeforces.com/problemset/problem/1514/A
1515, A, 800, Phoenix and Gold, https://codeforces.com/problemset/problem/1515/A
1516, A, 800, Tit for Tat, https://codeforces.com/problemset/problem/1516/A
1517, A, 800, Sum of 2050, https://codeforces.com/problemset/problem/1517/A
1519, A, 800, Red and Blue Beans, https://codeforces.com/problemset/problem/1519/A
1519, B, 800, The Cake Is a Lie, https://codeforces.com/problemset/problem/1519/B
1523, A, 800, Game of Life, https://codeforces.com/problemset/problem/1523/A
1525, A, 800, Potion-making, https://codeforces.com/problemset/problem/1525/A
1526, A, 800, Mean Inequality, https://codeforces.com/problemset/problem/1526/A
1527, A, 800, And Then There Were K, https://codeforces.com/problemset/problem/1527/A
1530, A, 800, Binary Decimal, https://codeforces.com/problemset/problem/1530/A
1530, B, 800, Putting Plates, https://codeforces.com/problemset/problem/1530/B
1534, A, 800, Colour the Flag, https://codeforces.com/problemset/problem/1534/A
1535, A, 800, Fair Playoff, https://codeforces.com/problemset/problem/1535/A
1536, A, 800, Omkar and Bad Story, https://codeforces.com/problemset/problem/1536/A
