Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1118,  B,  1200,  Tanya and Candies,  https://codeforces.com/problemset/problem/1118/B
1121,  B,  1200,  Mike and Children,  https://codeforces.com/problemset/problem/1121/B
1121,  B,  1200,  Mike and Children,  https://codeforces.com/problemset/problem/1121/B
1130,  B,  1200,  Two Cakes,  https://codeforces.com/problemset/problem/1130/B
1131,  C,  1200,  Birthday,  https://codeforces.com/problemset/problem/1131/C
1133,  B,  1200,  Preparation for International Women's Day,  https://codeforces.com/problemset/problem/1133/B
1133,  C,  1200,  Balanced Team,  https://codeforces.com/problemset/problem/1133/C
1133,  C,  1200,  Balanced Team,  https://codeforces.com/problemset/problem/1133/C
1140,  B,  1200,  Good String,  https://codeforces.com/problemset/problem/1140/B
1140,  D,  1200,  Minimum Triangulation,  https://codeforces.com/problemset/problem/1140/D
1143,  B,  1200,  Nirvana,  https://codeforces.com/problemset/problem/1143/B
1149,  A,  1200,  Prefix Sum Primes,  https://codeforces.com/problemset/problem/1149/A
1153,  B,  1200,  Serval and Toy Bricks,  https://codeforces.com/problemset/problem/1153/B
1154,  B,  1200,  Make Them Equal,  https://codeforces.com/problemset/problem/1154/B
1155,  B,  1200,  Game with Telephone Numbers,  https://codeforces.com/problemset/problem/1155/B
1174,  B,  1200,  Ehab Is an Odd Person,  https://codeforces.com/problemset/problem/1174/B
1184,  A1,  1200,  Heidi Learns Hashing (Easy),  https://codeforces.com/problemset/problem/1184/A1
1185,  B,  1200,  Email from Polycarp,  https://codeforces.com/problemset/problem/1185/B
1185,  B,  1200,  Email from Polycarp,  https://codeforces.com/problemset/problem/1185/B
1185,  C1,  1200,  Exam in BerSU (easy version),  https://codeforces.com/problemset/problem/1185/C1
1185,  C1,  1200,  Exam in BerSU (easy version),  https://codeforces.com/problemset/problem/1185/C1
1191,  B,  1200,  Tokitsukaze and Mahjong,  https://codeforces.com/problemset/problem/1191/B
1191,  B,  1200,  Tokitsukaze and Mahjong,  https://codeforces.com/problemset/problem/1191/B
1196,  B,  1200,  Odd Sum Segments,  https://codeforces.com/problemset/problem/1196/B
1200,  B,  1200,  Block Adventure,  https://codeforces.com/problemset/problem/1200/B
1203,  B,  1200,  Equal Rectangles,  https://codeforces.com/problemset/problem/1203/B
1203,  B,  1200,  Equal Rectangles,  https://codeforces.com/problemset/problem/1203/B
1205,  A,  1200,  Almost Equal,  https://codeforces.com/problemset/problem/1205/A
1207,  B,  1200,  Square Filling,  https://codeforces.com/problemset/problem/1207/B
1213,  C,  1200,  Book Reading,  https://codeforces.com/problemset/problem/1213/C
1213,  C,  1200,  Book Reading,  https://codeforces.com/problemset/problem/1213/C
1213,  C,  1200,  Book Reading,  https://codeforces.com/problemset/problem/1213/C
1214,  C,  1200,  Bad Sequence,  https://codeforces.com/problemset/problem/1214/C
1214,  C,  1200,  Bad Sequence,  https://codeforces.com/problemset/problem/1214/C
1221,  C,  1200,  Perfect Team,  https://codeforces.com/problemset/problem/1221/C
1227,  B,  1200,  Box,  https://codeforces.com/problemset/problem/1227/B
1227,  B,  1200,  Box,  https://codeforces.com/problemset/problem/1227/B
1245,  B,  1200,  Restricted RPS,  https://codeforces.com/problemset/problem/1245/B
1257,  C,  1200,  Dominated Subarray,  https://codeforces.com/problemset/problem/1257/C
1257,  C,  1200,  Dominated Subarray,  https://codeforces.com/problemset/problem/1257/C
1270,  B,  1200,  Interesting Subarray,  https://codeforces.com/problemset/problem/1270/B
1272,  B,  1200,  Snow Walking Robot,  https://codeforces.com/problemset/problem/1272/B
1272,  C,  1200,  Yet Another Broken Keyboard,  https://codeforces.com/problemset/problem/1272/C
1272,  C,  1200,  Yet Another Broken Keyboard,  https://codeforces.com/problemset/problem/1272/C
1272,  C,  1200,  Yet Another Broken Keyboard,  https://codeforces.com/problemset/problem/1272/C
1277,  B,  1200,  Make Them Odd,  https://codeforces.com/problemset/problem/1277/B
1277,  B,  1200,  Make Them Odd,  https://codeforces.com/problemset/problem/1277/B
