Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1399,  B,  800,  Gifts Fixing,  https://codeforces.com/problemset/problem/1399/B
1400,  A,  800,  String Similarity,  https://codeforces.com/problemset/problem/1400/A
1405,  A,  800,  Permutation Forgery,  https://codeforces.com/problemset/problem/1405/A
1408,  A,  800,  Circle Coloring,  https://codeforces.com/problemset/problem/1408/A
1409,  A,  800,  Yet Another Two Integers Problem,  https://codeforces.com/problemset/problem/1409/A
141,  A,  800,  Amusing Joke,  https://codeforces.com/problemset/problem/141/A
1413,  A,  800,  Finding Sasuke,  https://codeforces.com/problemset/problem/1413/A
1415,  A,  800,  Prison Break,  https://codeforces.com/problemset/problem/1415/A
1417,  A,  800,  Copy-paste,  https://codeforces.com/problemset/problem/1417/A
1421,  A,  800,  XORwice,  https://codeforces.com/problemset/problem/1421/A
1422,  A,  800,  Fence,  https://codeforces.com/problemset/problem/1422/A
1426,  A,  800,  Floor Number,  https://codeforces.com/problemset/problem/1426/A
1428,  A,  800,  Box is Pull,  https://codeforces.com/problemset/problem/1428/A
1430,  B,  800,  Barrels,  https://codeforces.com/problemset/problem/1430/B
1430,  B,  800,  Barrels,  https://codeforces.com/problemset/problem/1430/B
1431,  A,  800,  Selling Hamburgers,  https://codeforces.com/problemset/problem/1431/A
1433,  A,  800,  Boring Apartments,  https://codeforces.com/problemset/problem/1433/A
1433,  B,  800,  Yet Another Bookshelf,  https://codeforces.com/problemset/problem/1433/B
1436,  A,  800,  Reorder,  https://codeforces.com/problemset/problem/1436/A
1437,  A,  800,  Marketing Scheme,  https://codeforces.com/problemset/problem/1437/A
1438,  A,  800,  Specific Tastes of Andre ,  https://codeforces.com/problemset/problem/1438/A
144,  A,  800,  Arrival of the General,  https://codeforces.com/problemset/problem/144/A
1440,  A,  800,  Buy the String,  https://codeforces.com/problemset/problem/1440/A
1443,  A,  800,  Kids Seating,  https://codeforces.com/problemset/problem/1443/A
1445,  A,  800,  Array Rearrangment,  https://codeforces.com/problemset/problem/1445/A
1447,  A,  800,  Add Candies,  https://codeforces.com/problemset/problem/1447/A
1450,  A,  800,  Avoid Trygub,  https://codeforces.com/problemset/problem/1450/A
1451,  A,  800,  Subtract or Divide,  https://codeforces.com/problemset/problem/1451/A
1452,  A,  800,  Robot Program,  https://codeforces.com/problemset/problem/1452/A
1452,  C,  800,  Two Brackets,  https://codeforces.com/problemset/problem/1452/C
1453,  A,  800,  Cancel the Trains,  https://codeforces.com/problemset/problem/1453/A
1454,  A,  800,  Special Permutation,  https://codeforces.com/problemset/problem/1454/A
